Sex,Team,NOC,Games,Year,Season,City,Sport,Medal
M,Switzerland-1,SUI,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Silver
M,Austria,AUT,1924 Summer,1924,Summer,Paris,Weightlifting,Silver
M,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,Bronze
M,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Silver
M,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Silver
M,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gold
M,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gold
M,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Bronze
M,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Bronze
M,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Bronze
M,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Sailing,Silver
M,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Gold
M,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Sailing,Gold
M,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Gold
M,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Gold
M,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Gold
M,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Gold
M,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Sailing,Bronze
M,Canada,CAN,1936 Summer,1936,Summer,Berlin,Basketball,Silver
F,Great Britain-1,GBR,1912 Summer,1912,Summer,Stockholm,Tennis,Silver
M,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,Silver
M,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,Bronze
M,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Gold
M,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Gold
M,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,Gold
F,Greece,GRE,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Bronze
M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Gold
M,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Baseball,Gold
M,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Silver
M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Silver
F,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Gold
M,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Silver
M,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Bronze
M,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Bronze
M,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,Silver
M,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Wrestling,Bronze
M,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,Gold
M,Japan,JPN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,Bronze
M,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,Bronze
M,Turkey,TUR,1964 Summer,1964,Summer,Tokyo,Wrestling,Silver
M,Turkey,TUR,1972 Summer,1972,Summer,Munich,Wrestling,Silver
M,Sweden,SWE,1948 Summer,1948,Summer,London,Canoeing,Gold
M,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,Silver
M,Bissbi,SWE,1932 Summer,1932,Summer,Los Angeles,Sailing,Gold
F,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Gold
F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Gold
F,Russia,RUS,1998 Winter,1998,Winter,Nagano,Biathlon,Silver
F,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Bronze
F,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Bronze
F,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Bronze
F,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Gold
M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,Silver
M,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Wrestling,Silver
F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Hockey,Bronze
M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Bronze
M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Gold
M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Gold
M,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Gold
M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Water Polo,Gold
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Water Polo,Gold
F,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Silver
M,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Silver
M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Bronze
F,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Bronze
M,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Silver
F,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Bronze
M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Bronze
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Gold
M,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Rowing,Bronze
F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Bronze
